ID,Source_File,Date,Category_Large,Category_Medium,Symptom,Action_Taken,Tags
"ms-update-80070490","Microsoft 공식 레퍼런스","2026-08-07","소프트웨어","Windows Update","[0x80070490] 업데이트 중 0x80070490(Element not found) 발생하며 CBS 매니페스트 누락","DISM 및 SFC 무결성 스캔 실행 후 실패 시 윈도우 인플레이스(In-Place) 업그레이드 복구","소프트웨어,WindowsUpdate,0x80070490,ERROR_NOT_FOUND,CBS,DISM,인플레이스업그레이드,WindowsUpdate"
"ms-update-80070643","Microsoft 공식 레퍼런스","2026-08-07","소프트웨어","Windows Update","[0x80070643] Windows 복구 환경(WinRE) 업데이트(KB5034441 등) 설치 시 0x80070643 무한 실패","diskpart를 사용하여 OS 파티션을 약 500MB 축소하고 복구 파티션을 250MB 이상 확장","소프트웨어,WindowsUpdate,0x80070643,ERROR_INSTALL_FAILURE,WinRE,복구파티션,diskpart,WindowsUpdate"
"ms-update-80073701","Microsoft 공식 레퍼런스","2026-08-07","소프트웨어","Windows Update","[0x80073701] 업데이트 설치 중 0x80073701 참조된 어셈블리를 찾을 수 없습니다 오류 발생","DISM StartComponentCleanup 실행 및 수동 독립 실행형 패키지(MSU) 설치","소프트웨어,WindowsUpdate,0x80073701,ERROR_SXS_ASSEMBLY_MISSING,WinSxS,MSU,DISM,WindowsUpdate"
"ms-update-80073712","Microsoft 공식 레퍼런스","2026-08-07","소프트웨어","Windows Update","[0x80073712] Windows 기능 추가/제거 또는 업데이트 시 0x80073712 구성 요소 저장소 손상 표출","Windows 설치 ISO 이미지를 마운트하여 WIM 소스를 지정한 DISM 복구 수행","소프트웨어,WindowsUpdate,0x80073712,ERROR_SXS_COMPONENT_STORE_CORRUPT,WinSxS,ISO마운트,DISM,WindowsUpdate"
"ms-update-800f081f","Microsoft 공식 레퍼런스","2026-08-07","소프트웨어","Windows Update","[0x800F081F] .NET Framework 3.5 설치 또는 누적 업데이트 시 0x800F081F 소스 파일을 찾을 수 없음","설치 미디어의 sxs 폴더를 소스로 지정하여 오프라인 기능 설치","소프트웨어,WindowsUpdate,0x800F081F,CBS_E_SOURCE_NOT_FOUND,NetFx3,닷넷프레임워크,DISM,WindowsUpdate"
"ms-update-800f0906","Microsoft 공식 레퍼런스","2026-08-07","소프트웨어","Windows Update","[0x800F0906] 선택적 기능 또는 언어 팩 추가 시 0x800F0906 소스 파일을 다운로드할 수 없음","로컬 그룹 정책 편집기(gpedit.msc)에서 선택적 구성 요소 원본 경로 정책 구성","소프트웨어,WindowsUpdate,0x800F0906,CBS_E_DOWNLOAD_FAILURE,gpedit,WSUS,그룹정책,WindowsUpdate"
"ms-update-800f0922","Microsoft 공식 레퍼런스","2026-08-07","소프트웨어","Windows Update","[0x800F0922] 업데이트 진행률 99% 도달 후 변경 내용을 실행 취소하는 중 메시지와 함께 0x800F0922 롤백","1. EFI 시스템 파티션의 로그 및 폰트 파일 정리 2. Secure Boot 설정 확인","소프트웨어,WindowsUpdate,0x800F0922,CBS_E_INSTALL_FAILED,EFI파티션,SecureBoot,mountvol,WindowsUpdate"
"ms-update-80240034","Microsoft 공식 레퍼런스","2026-08-07","소프트웨어","Windows Update","[0x80240034] Windows Update 카탈로그 검색은 성공하나 다운로드 시작 즉시 0x80240034 오류 발생","네트워크 어댑터 재설정 및 소프트웨어 배포 폴더 리셋","소프트웨어,WindowsUpdate,0x80240034,WU_E_DOWNLOAD_FAILED,winsock,flushdns,BITS,WindowsUpdate"
"ms-update-80244018","Microsoft 공식 레퍼런스","2026-08-07","소프트웨어","Windows Update","[0x80244018] 업데이트 서버와 통신 중 0x80244018 (HTTP 403 Forbidden) 오류 발생","프록시 설정 비활성화(`netsh winhttp reset proxy`) 및 VPN 연결 해제 후 직접 연결","소프트웨어,WindowsUpdate,0x80244018,WU_E_PT_HTTP_STATUS_FORBIDDEN,winhttp,프록시,VPN,WindowsUpdate"
"ms-update-8024402c","Microsoft 공식 레퍼런스","2026-08-07","소프트웨어","Windows Update","[0x8024402C] Windows 업데이트 시 0x8024402C 발생하며 업데이트 서버 이름을 확인할 수 없음","네트워크 어댑터의 DNS를 신뢰할 수 있는 공공 DNS(1.1.1.1 또는 8.8.8.8)로 수동 변경","소프트웨어,WindowsUpdate,0x8024402C,WU_E_PT_WINHTTP_NAME_NOT_RESOLVED,DNS,IPv4,ncpa.cpl,WindowsUpdate"
"ms-update-c0000005","Microsoft 공식 레퍼런스","2026-08-07","소프트웨어","Windows Update","[0xC0000005] 응용 프로그램 실행 중 0xC0000005 응용 프로그램 오류 발생하며 강제 종료","1. 데이터 실행 방지(DEP) 설정 확인 2. RAM 메모리 진단 실행 3. Visual C++ 재배포 패키지 재설치","소프트웨어,WindowsUpdate,0xC0000005,STATUS_ACCESS_VIOLATION,메모리접근위반,DEP,mdsched,VisualC++"
"ms-update-c0000142","Microsoft 공식 레퍼런스","2026-08-07","소프트웨어","Windows Update","[0xC0000142] 프로그램 실행 시 응용 프로그램을 제대로 시작하지 못했습니다(0xC0000142) 오류 창 표출","1. 시스템 파일 무결성 복구(`sfc /scannow`) 2. 클린 부팅을 통한 타사 DLL 인젝션 차단","소프트웨어,WindowsUpdate,0xC0000142,STATUS_DLL_INIT_FAILED,DLL오류,sfc,DDU,런타임"
"ms-update-c000021a","Microsoft 공식 레퍼런스","2026-08-07","소프트웨어","Windows Update","[0xC000021A] 부팅 중 블루스크린 발생하며 중지 코드 0xC000021A 표출","안전 모드 부팅 후 최근 설치된 드라이버 롤백 및 드라이버 서명 적용 비활성화 모드 테스트","소프트웨어,WindowsUpdate,0xC000021A,STATUS_SYSTEM_PROCESS_TERMINATED,BSOD,Winlogon,안전모드,WinRE"
"hw-spec-1-beep-1-","PC 하드웨어 표준 진단 규격","2026-08-07","하드웨어","BIOS","[1 Beep (단음 1회)] PC 전원 켜짐 후 화면 반응 없이 비프음 1회 발생","RAM 모듈 탈착 후 골드핑거 세척 및 A2(2번) 슬롯 재장착","하드웨어,진단규격,DRAM Refresh Failure,AMI,RAM,비프음,메모리접촉불량,골드핑거"
"hw-spec-2-beeps-2-","PC 하드웨어 표준 진단 규격","2026-08-07","하드웨어","BIOS","[2 Beeps (단음 2회)] 전원 인가 시 비프음 2회 울리며 부팅 불가","다중 RAM 장착 시 슬롯 교차 장착 및 단일 램 단독 부팅 테스트","하드웨어,진단규격,Parity Error,AMI,RAM,비프음,CMOS초기화"
"hw-spec-3-beeps-3-","PC 하드웨어 표준 진단 규격","2026-08-07","하드웨어","BIOS","[3 Beeps (단음 3회)] 전원 ON 시 비프음 3회 연속 출력 후 화면 먹통","신품 RAM으로 대체 교체 테스트 또는 다른 채널 슬롯 장착","하드웨어,진단규격,Base 64K RAM Failure,AMI,RAM,비프음,MemTest86,쿨러장력"
"hw-spec-5-beeps-5-","PC 하드웨어 표준 진단 규격","2026-08-07","하드웨어","BIOS","[5 Beeps (단음 5회)] 전원 팬은 회전하나 비프음 5회 발생하며 화면 무반응","1. 파워서플라이 CPU 8핀 보조전원 결착 확인 2. CPU 쿨러 탈거 후 소켓 핀 검사","하드웨어,진단규격,Processor (CPU) Error,AMI,CPU,비프음,보조전원,소켓핀"
"hw-spec-8-beeps-8-","PC 하드웨어 표준 진단 규격","2026-08-07","하드웨어","BIOS","[8 Beeps (단음 8회)] 비프음 8회 출력되며 모니터에 신호 없음(No Signal) 표시","외장 그래픽카드 탈착 후 PCIe 골드핑거 세척 및 보조전원(PCIe 8핀) 재연결","하드웨어,진단규격,Display Memory Error,AMI,그래픽카드,GPU,비프음,PCIe"
"hw-spec-1-long-2-short-1-2-","PC 하드웨어 표준 진단 규격","2026-08-07","하드웨어","BIOS","[1 Long 2 Short (장음 1회, 단음 2회)] 삐--- 삑 삑 비프음 출력 후 화면 출력 불가","그래픽카드 재장착 및 모니터 케이블(DP/HDMI) 교체 테스트","하드웨어,진단규격,Video Adapter Error,Award,그래픽카드,비프음,HDMI,DP"
"hw-spec-continuous-long-","PC 하드웨어 표준 진단 규격","2026-08-07","하드웨어","BIOS","[Continuous Long (연속 장음)] 삐--- 삐--- 장음이 끊김 없이 무한 반복되며 부팅 멈춤","전체 RAM 탈거 후 1개씩 단일 장착하여 불량 슬롯 및 불량 모듈 판별","하드웨어,진단규격,DRAM Failure,Award,RAM,비프음,메모리불량"
"hw-spec-2-amber-4-white-2-4-","PC 하드웨어 표준 진단 규격","2026-08-07","하드웨어","데스크탑","[2 Amber, 4 White (주황 2회, 흰색 4회)] Dell 데스크탑/노트북 전원 버튼 LED가 주황색 2회, 흰색 4회 점멸 반복","Dell 권장 규격의 DDR4/DDR5 메모리 확인 및 개별 슬롯 점검","하드웨어,진단규격,Memory / RAM Failure,Dell,LED점멸,SupportAssist,RAM"
"hw-spec-3-amber-5-white-3-5-","PC 하드웨어 표준 진단 규격","2026-08-07","하드웨어","데스크탑","[3 Amber, 5 White (주황 3회, 흰색 5회)] Dell 시스템 전원 버튼 LED가 주황색 3회, 흰색 5회 점멸 후 전원 차단","1. 외부 모든 USB 및 도킹 스테이션 탈거 2. 메인보드 RTC 리셋 점퍼 실행","하드웨어,진단규격,Power Rail Timeout,Dell,LED점멸,RTC리셋,전원쇼트"
"hw-spec-3-long-2-short-caps-lock-3-2-","PC 하드웨어 표준 진단 규격","2026-08-07","하드웨어","데스크탑","[3 Long, 2 Short (Caps Lock 점멸 3장 2단)] HP 노트북/데스크탑 전원 인가 시 Caps Lock LED가 긴 점멸 3회, 짧은 점멸 2회 반복","RAM 접점 청소 및 HP PC Hardware Diagnostics UEFI 실행","하드웨어,진단규격,Memory Module Error,HP,CapsLock점멸,UEFI진단,RAM"
"hw-spec-5-long-2-short-caps-lock-5-2-","PC 하드웨어 표준 진단 규격","2026-08-07","하드웨어","데스크탑","[5 Long, 2 Short (Caps Lock 점멸 5장 2단)] HP PC 전원 켜짐 후 Caps Lock LED 5장 2단 점멸하며 블랙스크린 유지","HP 하드웨어 단축키(Win + B)를 사용한 BIOS 비상 자동 복구 시퀀스 실행","하드웨어,진단규격,BIOS Recovery Required,HP,BIOS복구,Win+B,블랙스크린"
"hw-spec-beep-2101-2102","PC 하드웨어 표준 진단 규격","2026-08-07","하드웨어","데스크탑","[BEEP 2101 / 2102] ThinkPad 부팅 시 ""2101: Detection error on SSD (M.2)"" 에러 메시지 표출","M.2 슬롯 나사 체결 상태 확인 및 재장착, SSD 펌웨어 업데이트","하드웨어,진단규격,SSD Initialization Error,Lenovo,ThinkPad,M.2,NVMe,SSD"
"kisa-sec-001","KISA 보호나라 표준 가이드","2026-08-07","네트워크","네트워크 보안","특정 포털 사이트 접속 시 보안 인증서 경고 또는 금융감독원 팝업창이 강제 표출됨","공유기 공장 초기화(RST) 및 관리자 암호 변경, 통신사 공인 DNS 강제 지정","네트워크,보안,KISA가이드,DNS변조,파밍,공유기초기화,flushdns,네트워크보안"
"kisa-sec-002","KISA 보호나라 표준 가이드","2026-08-07","네트워크","보안/복구","파일 확장자가 알 수 없는 문자열로 변경되고 바탕화면에 README 텍스트 파일 생성됨","1. 즉각적인 유선 랜선 탈거 및 Wi-Fi 차단 2. 강제 전원 OFF 및 오프라인 백업 검사","네트워크,보안,KISA가이드,랜섬웨어,긴급격리,KISA,데이터복구,보안"
"kisa-sec-003","KISA 보호나라 표준 가이드","2026-08-07","네트워크","네트워크 보안","작업 관리자 또는 이벤트 뷰어(Security 4625)에 수천 건의 알 수 없는 계정 로그인 실패 기록 누적","1. RDP 기본 포트 레지스트리 변경 2. Windows 방화벽 인바운드 특정 IP 제한","네트워크,보안,KISA가이드,RDP,원격데스크톱,방화벽,레지스트리,포트변경"
"kisa-sec-004","KISA 보호나라 표준 가이드","2026-08-07","네트워크","네트워크 보안","Wi-Fi 및 이더넷 연결됨 상태이나 웹 브라우저 접속 불가 및 DNS 요청 타임아웃 지속","관리자 권한 CMD에서 netsh winsock reset 및 netsh int ip reset 명령으로 스택 초기화","네트워크,보안,KISA가이드,winsock,TCP/IP,netsh,네트워크초기화,IP충돌"
"kisa-sec-005","KISA 보호나라 표준 가이드","2026-08-07","네트워크","보안/복구","사내 네트워크에서 워너크라이(WannaCry) 류의 파일 공유 취약점 공격 노출 우려","Windows 기능 켜기/끄기에서 SMB 1.0/CIFS 파일 공유 지원 완전 비활성화","네트워크,보안,KISA가이드,SMBv1,랜섬웨어,Windows기능,보안패치"
"ms-bsod-0000000a","Microsoft 공식 레퍼런스","2026-08-07","소프트웨어","블루스크린(BSOD)","[0x0000000A] 고부하 작업 또는 부팅 중 블루스크린 IRQL_NOT_LESS_OR_EQUAL (0x0000000A) 발생","최근 설치된 드라이버 롤백, 그래픽/칩셋 드라이버 클린 재설치 및 메모리 진단(mdsched)","소프트웨어,블루스크린(BSOD),0x0000000A,IRQL_NOT_LESS_OR_EQUAL,IRQL,BSOD,DDU,드라이버,mdsched"
"ms-bsod-0000001e","Microsoft 공식 레퍼런스","2026-08-07","소프트웨어","블루스크린(BSOD)","[0x0000001E] 프로그램 실행 또는 시스템 가동 중 KMODE_EXCEPTION_NOT_HANDLED (0x0000001E) 블루스크린","오류 덤프(minidump)에 명시된 문제 파일(.sys) 식별 및 해당 드라이버 교체/삭제","소프트웨어,블루스크린(BSOD),0x0000001E,KMODE_EXCEPTION_NOT_HANDLED,KMODE,BSOD,Minidump,WinDbg,sfc"
"ms-bsod-0000003b","Microsoft 공식 레퍼런스","2026-08-07","소프트웨어","블루스크린(BSOD)","[0x0000003B] 웹 브라우징, 게임, 그래픽 작업 중 SYSTEM_SERVICE_EXCEPTION (0x0000003B) 블루스크린","GPU 드라이버 업데이트, 시스템 파일 무결성 검사 및 뱅킹 보안 모듈 충돌 검사","소프트웨어,블루스크린(BSOD),0x0000003B,SYSTEM_SERVICE_EXCEPTION,SYSTEM_SERVICE,BSOD,GPU,보안모듈,sfc"
"ms-bsod-0000007e","Microsoft 공식 레퍼런스","2026-08-07","소프트웨어","블루스크린(BSOD)","[0x0000007E] 시스템 기동 시 SYSTEM_THREAD_EXCEPTION_NOT_HANDLED (0x0000007E) 블루스크린 반복","C드라이브 여유 공간 20GB 이상 확보 및 안전 모드에서 그래픽 드라이버 재설치","소프트웨어,블루스크린(BSOD),0x0000007E,SYSTEM_THREAD_EXCEPTION_NOT_HANDLED,SYSTEM_THREAD,BSOD,BIOS,디스크정리,드라이버"
"ms-bsod-00000050","Microsoft 공식 레퍼런스","2026-08-07","소프트웨어","블루스크린(BSOD)","[0x00000050] 부팅 또는 작업 중 PAGE_FAULT_IN_NONPAGED_AREA (0x00000050) 블루스크린 발생","RAM 모듈 탈착 세척 및 가상 메모리(페이징 파일) 크기 재설정","소프트웨어,블루스크린(BSOD),0x00000050,PAGE_FAULT_IN_NONPAGED_AREA,PAGE_FAULT,BSOD,RAM,가상메모리,chkdsk"
"ms-bsod-000000d1","Microsoft 공식 레퍼런스","2026-08-07","소프트웨어","블루스크린(BSOD)","[0x000000D1] 네트워크 통신 또는 USB 장치 연결 시 DRIVER_IRQL_NOT_LESS_OR_EQUAL (0x000000D1)","유선/무선 네트워크 어댑터 드라이버 클린 재설치 및 절전 모드 해제","소프트웨어,블루스크린(BSOD),0x000000D1,DRIVER_IRQL_NOT_LESS_OR_EQUAL,DRIVER_IRQL,BSOD,네트워크어댑터,Wi-Fi,절전모드"
"ms-bsod-00000116","Microsoft 공식 레퍼런스","2026-08-07","소프트웨어","블루스크린(BSOD)","[0x00000116] 동영상 재생 또는 게임 플레이 중 화면이 멈췄다가 VIDEO_TDR_FAILURE (0x00000116) 블루스크린","1. DDU 클린 설치 2. GPU 클럭/전압 다운클럭 3. 레지스트리 TdrDelay 조정","소프트웨어,블루스크린(BSOD),0x00000116,VIDEO_TDR_FAILURE,VIDEO_TDR,BSOD,GPU,DDU,TdrDelay"
"ms-bsod-00000133","Microsoft 공식 레퍼런스","2026-08-07","소프트웨어","블루스크린(BSOD)","[0x00000133] 마우스 커서가 뚝뚝 끊기다가 시스템 정지 후 DPC_WATCHDOG_VIOLATION (0x00000133) BSOD","SATA/NVMe 스토리지 컨트롤러 드라이버 표준 AHCI로 교체 및 SSD 펌웨어 업데이트","소프트웨어,블루스크린(BSOD),0x00000133,DPC_WATCHDOG_VIOLATION,DPC_WATCHDOG,BSOD,SSD펌웨어,AHCI,빠른시작"
"ms-bsod-00000139","Microsoft 공식 레퍼런스","2026-08-07","소프트웨어","블루스크린(BSOD)","[0x00000139] 프로그램 실행 중 KERNEL_SECURITY_CHECK_FAILURE (0x00000139) 블루스크린 발생","오버클럭 해제, 메모리 무결성(Core Isolation) 옵션 확인 및 바이러스 정밀 검사","소프트웨어,블루스크린(BSOD),0x00000139,KERNEL_SECURITY_CHECK_FAILURE,KERNEL_SECURITY,BSOD,오버클럭,코어격리,XMP"
"ms-bsod-000000ef","Microsoft 공식 레퍼런스","2026-08-07","소프트웨어","블루스크린(BSOD)","[0x000000EF] 시스템이 급작스럽게 프리징된 후 CRITICAL_PROCESS_DIED (0x000000EF) 블루스크린 표출","SFC/DISM 무결성 복구 및 최근 설치된 의심스러운 시스템 패치 롤백","소프트웨어,블루스크린(BSOD),0x000000EF,CRITICAL_PROCESS_DIED,CRITICAL_PROCESS,BSOD,sfc,DISM,업데이트삭제"
"ms-bsod-00000154","Microsoft 공식 레퍼런스","2026-08-07","소프트웨어","블루스크린(BSOD)","[0x00000154] SSD 가동 중 디스크 100% 점유율 유지되다가 UNEXPECTED_STORE_EXCEPTION (0x00000154) 발생","SSD 케이블/M.2 슬롯 접촉 상태 점검, CrystalDiskInfo 건강 상태 진단 및 전원 관리 옵션 변경","소프트웨어,블루스크린(BSOD),0x00000154,UNEXPECTED_STORE_EXCEPTION,STORE_EXCEPTION,BSOD,SSD,CrystalDiskInfo,디스크100%"
"ms-bsod-0000007b","Microsoft 공식 레퍼런스","2026-08-07","소프트웨어","블루스크린(BSOD)","[0x0000007B] Windows 로딩 서클 회전 중 INACCESSIBLE_BOOT_DEVICE (0x0000007B) 블루스크린 발생하며 무한 재부팅","BIOS 진입하여 SATA 모드(AHCI/RAID) 원복 및 BCD 부팅 구성 데이터 재구축","소프트웨어,블루스크린(BSOD),0x0000007B,INACCESSIBLE_BOOT_DEVICE,INACCESSIBLE_BOOT,BSOD,AHCI,RAID,bootrec,BCD"
"ms-bsod-00000124","Microsoft 공식 레퍼런스","2026-08-07","소프트웨어","블루스크린(BSOD)","[0x00000124] 작업 중 사운드가 드르륵 걸리며 WHEA_UNCORRECTABLE_ERROR (0x00000124) 하드웨어 오류 BSOD","1. CPU 언더볼팅/오버클럭 해제 2. CPU 서멀구리스 재도포 3. 파워서플라이 전압 출력 점검","소프트웨어,블루스크린(BSOD),0x00000124,WHEA_UNCORRECTABLE_ERROR,WHEA,BSOD,CPU발열,언더볼팅,HWiNFO64,서멀구리스"
"ms-bsod-00000074","Microsoft 공식 레퍼런스","2026-08-07","소프트웨어","블루스크린(BSOD)","[0x00000074] 부팅 과정에서 BAD_SYSTEM_CONFIG_INFO (0x00000074) 블루스크린 표출","WinRE 명령 프롬프트에서 레지스트리 백업 복원 또는 시스템 복원 지점 적용","소프트웨어,블루스크린(BSOD),0x00000074,BAD_SYSTEM_CONFIG_INFO,BAD_CONFIG,BSOD,레지스트리,시스템복원,BCD"
"hw-ami-6beep","PC 하드웨어 표준 진단 규격","2026-08-07","하드웨어","BIOS","전원 켜짐 후 비프음 단음 6회 울리며 화면 출력 불가","1. 외부 키보드 및 USB 허브 전체 탈착 후 부팅 2. CMOS 클리어 점퍼 리셋","하드웨어,BIOS,AMI BIOS Beep,6 Beeps,AMI,비프음,GateA20,CMOS초기화,SuperIO"
"hw-ami-7beep","PC 하드웨어 표준 진단 규격","2026-08-07","하드웨어","BIOS","PC 전원 인가 시 비프음 7회 출력되며 부팅 중단","CPU 탈거 후 소켓 핀 검사 및 다른 정상 CPU로 교차 검증","하드웨어,BIOS,AMI BIOS Beep,7 Beeps,AMI,비프음,CPU소켓,인터럽트,쿨러장력"
"hw-ami-9beep","PC 하드웨어 표준 진단 규격","2026-08-07","하드웨어","BIOS","비프음 9회 울리며 부팅 화면 진입 불가","BIOS Flashback 기능을 이용한 바이오스 강제 재플래싱 복구","하드웨어,BIOS,AMI BIOS Beep,9 Beeps,AMI,비프음,BIOSFlashback,롬바이오스,체크섬"
"hw-dell-2amber-7white","PC 하드웨어 표준 진단 규격","2026-08-07","하드웨어","디스플레이","Dell 노트북 전원 버튼 LED가 주황색 2회, 흰색 7회 반복 점멸하며 화면 블랙","eDP 케이블 재장착 및 Dell BIST(자체 화면 테스트) 실행","하드웨어,디스플레이,Dell,LED점멸,LCDBIST,eDP케이블,화면"
"hw-dell-3amber-3white","PC 하드웨어 표준 진단 규격","2026-08-07","하드웨어","데스크탑","Dell 전원 LED 주황 3회, 흰색 3회 점멸하며 복구 이미지 없음 오류","USB 드라이브에 BIOS 복구 파일 생성 후 강제 복구(Ctrl + Esc)","하드웨어,데스크탑,Dell Diagnostic LED,3 Amber 3 White,Dell,LED점멸,BIOS복구,Ctrl+Esc,rcv"
"hw-hp-3long-3short","PC 하드웨어 표준 진단 규격","2026-08-07","하드웨어","데스크탑","HP PC 전원 인가 시 Caps Lock/전원 LED가 3회 긴 점멸, 3회 짧은 점멸 반복","외장 그래픽카드 PCIe 슬롯 재결착 및 보조 전원 점검","하드웨어,데스크탑,HP Diagnostic Blink,3 Long 3 Short,HP,CapsLock점멸,그래픽카드,PCIe,GPU"
"hw-ram-dualchannel","PC 하드웨어 표준 진단 규격","2026-08-07","하드웨어","메모리","2개 RAM 장착 시 싱글 채널로만 동작하거나 부팅 시 무한 재부팅(메모리 트레이닝 실패)","CPU 소켓으로부터 2번째(A2), 4번째(B2) 슬롯에 우선 장착","하드웨어,메모리,메모리 규격,RAM 슬롯 서열,RAM,듀얼채널,데이지체인,XMP,CPU-Z"
